train_sample_id,sample_id,utterance_id,conversation_id,session,speaker_id,gender,original_emotion,emotion,start_time,end_time,eval_duration,valence,arousal,dominance,wav_path,wav_found,duration,sample_rate,channels,transcript,transcript_found,transcript_file,eval_file,is_4class,emotion_4class,emotion_id,valence_norm,arousal_norm,dominance_norm,source_dataset,word_count
iemocap_train_00000,iemocap_00000,Ses01F_impro01_F000,Ses01F_impro01,Ses01,Ses01F,female,neu,neutral,6.2901,8.2357,1.9455999999999998,2.5,2.5,2.5,/kaggle/input/datasets/dejolilandry/iemocapfullrelease/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro01/Ses01F_impro01_F000.wav,True,1.9455625,16000,1,Excuse me.,True,/kaggle/input/datasets/dejolilandry/iemocapfullrelease/IEMOCAP_full_release/Session1/dialog/transcriptions/Ses01F_impro01.txt,/kaggle/input/datasets/dejolilandry/iemocapfullrelease/IEMOCAP_full_release/Session1/dialog/EmoEvaluation/Ses01F_impro01.txt,True,neutral,0,0.375,0.375,0.375,IEMOCAP_full_release,2
iemocap_train_00001,iemocap_00001,Ses01F_impro01_F001,Ses01F_impro01,Ses01,Ses01F,female,neu,neutral,10.01,11.3925,1.3825000000000003,2.5,2.5,2.5,/kaggle/input/datasets/dejolilandry/iemocapfullrelease/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro01/Ses01F_impro01_F001.wav,True,1.3824375,16000,1,Yeah.,True,/kaggle/input/datasets/dejolilandry/iemocapfullrelease/IEMOCAP_full_release/Session1/dialog/transcriptions/Ses01F_impro01.txt,/kaggle/input/datasets/dejolilandry/iemocapfullrelease/IEMOCAP_full_release/Session1/dialog/EmoEvaluation/Ses01F_impro01.txt,True,neutral,0,0.375,0.375,0.375,IEMOCAP_full_release,1
iemocap_train_00002,iemocap_00002,Ses01F_impro01_F002,Ses01F_impro01,Ses01,Ses01F,female,neu,neutral,14.8872,18.0175,3.1302999999999983,2.5,2.5,2.5,/kaggle/input/datasets/dejolilandry/iemocapfullrelease/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro01/Ses01F_impro01_F002.wav,True,3.13025,16000,1,Is there a problem?,True,/kaggle/input/datasets/dejolilandry/iemocapfullrelease/IEMOCAP_full_release/Session1/dialog/transcriptions/Ses01F_impro01.txt,/kaggle/input/datasets/dejolilandry/iemocapfullrelease/IEMOCAP_full_release/Session1/dialog/EmoEvaluation/Ses01F_impro01.txt,True,neutral,0,0.375,0.375,0.375,IEMOCAP_full_release,4
iemocap_train_00003,iemocap_00005,Ses01F_impro01_F005,Ses01F_impro01,Ses01,Ses01F,female,neu,neutral,27.46,31.49,4.029999999999998,2.5,3.5,2.0,/kaggle/input/datasets/dejolilandry/iemocapfullrelease/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro01/Ses01F_impro01_F005.wav,True,4.0299375,16000,1,Well what's the problem?  Let me change it.,True,/kaggle/input/datasets/dejolilandry/iemocapfullrelease/IEMOCAP_full_release/Session1/dialog/transcriptions/Ses01F_impro01.txt,/kaggle/input/datasets/dejolilandry/iemocapfullrelease/IEMOCAP_full_release/Session1/dialog/EmoEvaluation/Ses01F_impro01.txt,True,neutral,0,0.375,0.625,0.25,IEMOCAP_full_release,8
iemocap_train_00004,iemocap_00012,Ses01F_impro01_F012,Ses01F_impro01,Ses01,Ses01F,female,ang,angry,85.27,88.02,2.75,2.0,3.5,3.5,/kaggle/input/datasets/dejolilandry/iemocapfullrelease/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro01/Ses01F_impro01_F012.wav,True,2.75,16000,1,That's out of control.,True,/kaggle/input/datasets/dejolilandry/iemocapfullrelease/IEMOCAP_full_release/Session1/dialog/transcriptions/Ses01F_impro01.txt,/kaggle/input/datasets/dejolilandry/iemocapfullrelease/IEMOCAP_full_release/Session1/dialog/EmoEvaluation/Ses01F_impro01.txt,True,angry,1,0.25,0.625,0.625,IEMOCAP_full_release,4
iemocap_train_00005,iemocap_00014,Ses01F_impro01_F014,Ses01F_impro01,Ses01,Ses01F,female,neu,neutral,97.89,102.96,5.069999999999993,2.5,3.5,3.5,/kaggle/input/datasets/dejolilandry/iemocapfullrelease/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro01/Ses01F_impro01_F014.wav,True,5.07,16000,1,"Clearly.  You know, do you have like a supervisor or something?",True,/kaggle/input/datasets/dejolilandry/iemocapfullrelease/IEMOCAP_full_release/Session1/dialog/transcriptions/Ses01F_impro01.txt,/kaggle/input/datasets/dejolilandry/iemocapfullrelease/IEMOCAP_full_release/Session1/dialog/EmoEvaluation/Ses01F_impro01.txt,True,neutral,0,0.375,0.625,0.625,IEMOCAP_full_release,11
iemocap_train_00006,iemocap_00030,Ses01F_impro02_F000,Ses01F_impro02,Ses01,Ses01F,female,sad,sad,7.2688,16.6,9.331200000000003,2.5,2.0,1.5,/kaggle/input/datasets/dejolilandry/iemocapfullrelease/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_F000.wav,True,9.3311875,16000,1,Did you get the mail? So you saw my letter?,True,/kaggle/input/datasets/dejolilandry/iemocapfullrelease/IEMOCAP_full_release/Session1/dialog/transcriptions/Ses01F_impro02.txt,/kaggle/input/datasets/dejolilandry/iemocapfullrelease/IEMOCAP_full_release/Session1/dialog/EmoEvaluation/Ses01F_impro02.txt,True,sad,2,0.375,0.25,0.125,IEMOCAP_full_release,10
iemocap_train_00007,iemocap_00031,Ses01F_impro02_F001,Ses01F_impro02,Ses01,Ses01F,female,sad,sad,19.85,22.78,2.9299999999999997,2.0,1.5,1.5,/kaggle/input/datasets/dejolilandry/iemocapfullrelease/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_F001.wav,True,2.93,16000,1,Yeah.  I know.,True,/kaggle/input/datasets/dejolilandry/iemocapfullrelease/IEMOCAP_full_release/Session1/dialog/transcriptions/Ses01F_impro02.txt,/kaggle/input/datasets/dejolilandry/iemocapfullrelease/IEMOCAP_full_release/Session1/dialog/EmoEvaluation/Ses01F_impro02.txt,True,sad,2,0.25,0.125,0.125,IEMOCAP_full_release,3
iemocap_train_00008,iemocap_00032,Ses01F_impro02_F002,Ses01F_impro02,Ses01,Ses01F,female,sad,sad,26.5659,32.2895,5.723599999999998,2.0,1.5,1.5,/kaggle/input/datasets/dejolilandry/iemocapfullrelease/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_F002.wav,True,5.7235,16000,1,I don't know.  I put in that. request too. They didn't...,True,/kaggle/input/datasets/dejolilandry/iemocapfullrelease/IEMOCAP_full_release/Session1/dialog/transcriptions/Ses01F_impro02.txt,/kaggle/input/datasets/dejolilandry/iemocapfullrelease/IEMOCAP_full_release/Session1/dialog/EmoEvaluation/Ses01F_impro02.txt,True,sad,2,0.25,0.125,0.125,IEMOCAP_full_release,11
iemocap_train_00009,iemocap_00033,Ses01F_impro02_F003,Ses01F_impro02,Ses01,Ses01F,female,neu,neutral,32.3075,37.96,5.652500000000003,2.0,2.0,2.0,/kaggle/input/datasets/dejolilandry/iemocapfullrelease/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_F003.wav,True,5.6525,16000,1,"I guess, you know, everybody has to make sacrifices.",True,/kaggle/input/datasets/dejolilandry/iemocapfullrelease/IEMOCAP_full_release/Session1/dialog/transcriptions/Ses01F_impro02.txt,/kaggle/input/datasets/dejolilandry/iemocapfullrelease/IEMOCAP_full_release/Session1/dialog/EmoEvaluation/Ses01F_impro02.txt,True,neutral,0,0.25,0.25,0.25,IEMOCAP_full_release,9
