train_sample_id,utterance_id,transcript,emotion_4class,emotion_id,valence,arousal,dominance,session,speaker_id,duration,char_count,word_count,has_transcript
iemocap_train_00000,Ses01F_impro01_F000,Excuse me.,neutral,0,2.5,2.5,2.5,Ses01,Ses01F,1.9455625,10,2,True
iemocap_train_00001,Ses01F_impro01_F001,Yeah.,neutral,0,2.5,2.5,2.5,Ses01,Ses01F,1.3824375,5,1,True
iemocap_train_00002,Ses01F_impro01_F002,Is there a problem?,neutral,0,2.5,2.5,2.5,Ses01,Ses01F,3.13025,19,4,True
iemocap_train_00003,Ses01F_impro01_F005,Well what's the problem? Let me change it.,neutral,0,2.5,3.5,2.0,Ses01,Ses01F,4.0299375,42,8,True
iemocap_train_00004,Ses01F_impro01_F012,That's out of control.,angry,1,2.0,3.5,3.5,Ses01,Ses01F,2.75,22,4,True
iemocap_train_00005,Ses01F_impro01_F014,"Clearly. You know, do you have like a supervisor or something?",neutral,0,2.5,3.5,3.5,Ses01,Ses01F,5.07,62,11,True
iemocap_train_00006,Ses01F_impro02_F000,Did you get the mail? So you saw my letter?,sad,2,2.5,2.0,1.5,Ses01,Ses01F,9.3311875,43,10,True
iemocap_train_00007,Ses01F_impro02_F001,Yeah. I know.,sad,2,2.0,1.5,1.5,Ses01,Ses01F,2.93,13,3,True
iemocap_train_00008,Ses01F_impro02_F002,I don't know. I put in that. request too. They didn't...,sad,2,2.0,1.5,1.5,Ses01,Ses01F,5.7235,56,11,True
iemocap_train_00009,Ses01F_impro02_F003,"I guess, you know, everybody has to make sacrifices.",neutral,0,2.0,2.0,2.0,Ses01,Ses01F,5.6525,52,9,True
iemocap_train_00010,Ses01F_impro02_F004,"There's people that have given more though, you know?",sad,2,2.5,2.0,2.5,Ses01,Ses01F,5.7699375,53,9,True
iemocap_train_00011,Ses01F_impro02_F005,I know.,sad,2,2.0,2.0,2.5,Ses01,Ses01F,2.56,7,2,True
iemocap_train_00012,Ses01F_impro02_F006,"There's babies over there, though, that need mothers.",neutral,0,2.5,2.5,2.5,Ses01,Ses01F,4.215,53,8,True
iemocap_train_00013,Ses01F_impro02_F008,"Just, you know, kicking myself.",sad,2,1.5,2.0,1.5,Ses01,Ses01F,3.8868125,31,5,True
iemocap_train_00014,Ses01F_impro02_F010,things just aren't what they seem.,sad,2,2.0,1.5,2.0,Ses01,Ses01F,4.25,34,6,True
iemocap_train_00015,Ses01F_impro02_F012,"If not me then, who?",sad,2,3.5,2.0,1.5,Ses01,Ses01F,3.0305,20,5,True
iemocap_train_00016,Ses01F_impro02_F013,"You'll videotape everything, yeah?",sad,2,1.5,2.0,2.0,Ses01,Ses01F,6.1254375,34,4,True
iemocap_train_00017,Ses01F_impro02_F014,"Maybe you can send it to me, like stream it, yeah?",sad,2,1.5,2.0,2.0,Ses01,Ses01F,7.4,50,11,True
iemocap_train_00018,Ses01F_impro02_F015,Last month-- Yeah.,sad,2,2.0,2.5,2.5,Ses01,Ses01F,3.587875,18,3,True
iemocap_train_00019,Ses01F_impro02_F016,I have to find sitters.,neutral,0,2.0,1.0,2.5,Ses01,Ses01F,2.1899375,23,5,True
iemocap_train_00020,Ses01F_impro02_F017,"We've got friends, that's why we moved here, huh? Because there is a day care down the street.",sad,2,3.5,3.0,2.5,Ses01,Ses01F,6.6549375,94,18,True
iemocap_train_00021,Ses01F_impro02_F018,And your mother is close by.,neutral,0,2.5,2.5,2.5,Ses01,Ses01F,3.05,28,6,True
iemocap_train_00022,Ses01F_impro02_F019,I'll send you lots of letters.,sad,2,2.5,1.5,2.0,Ses01,Ses01F,3.059375,30,6,True
iemocap_train_00023,Ses01F_impro02_F020,And I want lots and lots and lots of pictures.,sad,2,4.0,2.0,2.5,Ses01,Ses01F,4.5299375,46,10,True
iemocap_train_00024,Ses01F_impro03_F000,Well Vegas was awesome.,happy,3,4.3333,2.6667,2.6667,Ses01,Ses01F,2.86,23,4,True
iemocap_train_00025,Ses01F_impro03_F001,"And, um, I got married.",happy,3,4.0,2.6667,2.6667,Ses01,Ses01F,3.4399375,23,5,True
iemocap_train_00026,Ses01F_impro03_F002,Yeah. In the old town part.,happy,3,4.3333,3.0,2.3333,Ses01,Ses01F,2.5699375,27,6,True
iemocap_train_00027,Ses01F_impro03_F004,Um- Yes. It was very romantic.,happy,3,4.6667,3.6667,2.3333,Ses01,Ses01F,3.7699375,30,6,True
iemocap_train_00028,Ses01F_impro03_F005,It was at the slot machines.,happy,3,4.3333,4.0,2.3333,Ses01,Ses01F,2.581625,28,6,True
iemocap_train_00029,Ses01F_impro03_F006,"Uhuh, uhuh. He won big and he-and he realized that the only thing that would make it better was me as his bride.",happy,3,4.0,3.3333,2.6667,Ses01,Ses01F,6.34,112,23,True
iemocap_train_00030,Ses01F_impro03_F008,"Yeah. Well. You know, because he's leaving the next day.",happy,3,4.0,3.3333,2.3333,Ses01,Ses01F,2.67,56,10,True
iemocap_train_00031,Ses01F_impro03_F009,But we're going to have a honeymoon cruise.,happy,3,4.0,2.6667,2.3333,Ses01,Ses01F,1.6999375,43,8,True
iemocap_train_00032,Ses01F_impro03_F010,Oh. I hadn't even thought about that.,happy,3,4.0,3.3333,3.0,Ses01,Ses01F,3.2049375,37,7,True
iemocap_train_00033,Ses01F_impro03_F012,Oh. Totally.,happy,3,4.0,3.6667,2.6667,Ses01,Ses01F,2.2849375,12,2,True
iemocap_train_00034,Ses01F_impro03_F013,I guess I'll- I guess I'll have an internet husband.[LAUGHTER],happy,3,5.0,4.0,3.3333,Ses01,Ses01F,5.1299375,62,10,True
iemocap_train_00035,Ses01F_impro03_F015,"Yeah, so [LAUGHTER] He's calling me now",happy,3,4.6667,3.6667,3.0,Ses01,Ses01F,4.5749375,39,7,True
iemocap_train_00036,Ses01F_impro03_F016,"He likes to keep tabs, you know.",happy,3,4.0,3.0,2.3333,Ses01,Ses01F,2.0524375,32,7,True
iemocap_train_00037,Ses01F_impro03_F017,"Uh, I think seven hundred and fifty dollars.",neutral,0,3.6667,2.6667,2.3333,Ses01,Ses01F,2.9825,44,8,True
iemocap_train_00038,Ses01F_impro03_F018,Penny slots. That's what he plays.,neutral,0,3.6667,3.0,2.0,Ses01,Ses01F,2.9225,34,6,True
iemocap_train_00039,Ses01F_impro03_F019,Yeah.,neutral,0,3.6667,2.3333,2.0,Ses01,Ses01F,1.4199375,5,1,True
iemocap_train_00040,Ses01F_impro03_F021,Yeah. We played Wheel of Fortune pennies. It's like a giant thing with like-,happy,3,3.3333,3.6667,2.6667,Ses01,Ses01F,5.46,76,14,True
iemocap_train_00041,Ses01F_impro03_F022,Fifty bucks. Mmhmm.,neutral,0,3.3333,2.6667,2.0,Ses01,Ses01F,2.2524375,19,3,True
iemocap_train_00042,Ses01F_impro03_F023,Yeah.,neutral,0,3.0,2.3333,2.0,Ses01,Ses01F,0.8424375,5,1,True
iemocap_train_00043,Ses01F_impro03_F024,Well so now we're married. We have cat children.,happy,3,4.3333,3.0,2.6667,Ses01,Ses01F,4.4025,48,9,True
